build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
reinforced/heavy/control/cadence,256,0.9765625,0.9498183470640867,0.9892152795761434,6.79296875,210.5282563144772
reinforced/heavy/control/precision,256,0.9765625,0.9498183470640867,0.9892152795761434,6.82421875,208.82051084022524
reinforced/mixed/control/cadence,256,0.9765625,0.9498183470640867,0.9892152795761434,6.78125,212.4037061033803
reinforced/mixed/control/precision,256,0.9765625,0.9498183470640867,0.9892152795761434,6.83203125,209.60021643803012
reinforced/torpedo/control/precision,256,0.97265625,0.9446436163987567,0.9866930133017994,6.64453125,224.67875866287395
reinforced/heavy/protection/cadence,256,0.94921875,0.915068172873268,0.9700864751892441,6.6953125,211.3815984782144
reinforced/heavy/protection/precision,256,0.94921875,0.915068172873268,0.9700864751892441,6.734375,209.71637402017382
reinforced/mixed/protection/cadence,256,0.94921875,0.915068172873268,0.9700864751892441,6.71484375,213.69453609887952
reinforced/mixed/protection/precision,256,0.94921875,0.915068172873268,0.9700864751892441,6.73828125,210.85711361851892
flexible/torpedo/control/precision,256,0.92578125,0.886998391306731,0.9519742751177369,6.75390625,211.60567291715367
reinforced/torpedo/protection/precision,256,0.92578125,0.886998391306731,0.9519742751177369,6.54296875,225.84342597573487
flexible/air_hybrid/control/cadence,256,0.921875,0.8824159132472333,0.9488597562375605,6.78125,207.50992499161114
flexible/mixed/protection/cadence,256,0.91796875,0.8778558535002986,0.9457228190448214,6.75390625,199.97386989678796
flexible/mixed/protection/precision,256,0.91796875,0.8778558535002986,0.9457228190448214,6.828125,197.7417649773666
flexible/air_hybrid/control/precision,256,0.91796875,0.8778558535002986,0.9457228190448214,6.81640625,204.92811843945853
reinforced/mixed/economy/cadence,256,0.91796875,0.8778558535002986,0.9457228190448214,6.671875,211.4294681381261
reinforced/mixed/economy/precision,256,0.91796875,0.8778558535002986,0.9457228190448214,6.72265625,209.10689559697428
flexible/air_hybrid/protection/precision,256,0.9140625,0.8733168298757226,0.9425648457297233,6.72265625,208.32193396049882
flexible/air_hybrid/protection/cadence,256,0.91015625,0.8687976076657988,0.939387070999973,6.68359375,211.70843152581367
flexible/heavy/protection/precision,256,0.90625,0.8642970784410525,0.9361906032850452,6.82421875,198.3066997276844
fast/torpedo/protection/cadence,256,0.90625,0.8642970784410525,0.9361906032850452,6.546875,215.6382431909499
fast/torpedo/protection/precision,256,0.90625,0.8642970784410525,0.9361906032850452,6.609375,212.05553696541426
fast/torpedo/control/precision,256,0.90625,0.8642970784410525,0.9361906032850452,6.71875,209.82128894455096
reinforced/heavy/economy/precision,256,0.90625,0.8642970784410525,0.9361906032850452,6.6953125,208.1210427760901
flexible/mixed/control/precision,256,0.90234375,0.8598142426223699,0.932976442164054,6.9609375,197.42245892947503
fast/torpedo/control/cadence,256,0.90234375,0.8598142426223699,0.932976442164054,6.6640625,212.53876427007265
fast/air_hybrid/control/precision,256,0.90234375,0.8598142426223699,0.932976442164054,6.82421875,200.18856698183572
flexible/heavy/control/precision,256,0.8984375,0.855348195037774,0.9297454928089758,6.953125,197.70867487487666
flexible/mixed/control/cadence,256,0.8984375,0.855348195037774,0.9297454928089758,6.90625,199.075430209323
reinforced/heavy/economy/cadence,256,0.8984375,0.855348195037774,0.9297454928089758,6.671875,209.48435738289365
flexible/heavy/protection/cadence,256,0.89453125,0.8508981128612216,0.9264985780458541,6.765625,199.34916879034256
flexible/heavy/control/cadence,256,0.89453125,0.8508981128612216,0.9264985780458541,6.9140625,199.28761540880282
fast/air_hybrid/protection/precision,256,0.890625,0.8464632454696143,0.9232364484977874,6.68359375,202.91960426499952
fast/air_hybrid/control/cadence,256,0.890625,0.8464632454696143,0.9232364484977874,6.78125,202.51940107874793
flexible/torpedo/protection/precision,256,0.88671875,0.8420429058573817,0.9199597911703461,6.6484375,214.04012399705542
fast/mixed/protection/precision,256,0.88671875,0.8420429058573817,0.9199597911703461,6.85546875,193.99890045838328
fast/air_hybrid/protection/cadence,256,0.88671875,0.8420429058573817,0.9199597911703461,6.63671875,204.900117703198
fast/mixed/protection/cadence,256,0.87109375,0.8244949303034488,0.906719778965583,6.76953125,194.5963123906078
fast/mixed/control/cadence,256,0.87109375,0.8244949303034488,0.906719778965583,6.8828125,192.91257015072748
flexible/air_hybrid/economy/precision,256,0.86328125,0.8157938532773119,0.9000268621123717,6.59375,210.6299070839056
endurance/mixed/protection/cadence,256,0.859375,0.8114600115031926,0.896663706946817,6.609375,191.07268988510566
endurance/mixed/protection/precision,256,0.859375,0.8114600115031926,0.896663706946817,6.6640625,188.76000136299308
fast/mixed/control/precision,256,0.85546875,0.8071367963503525,0.8932899251599832,6.921875,190.93407351210433
flexible/air_hybrid/economy/cadence,256,0.8515625,0.8028238602392018,0.8899058643314598,6.53515625,212.23742472982985
fast/heavy/protection/cadence,256,0.8515625,0.8028238602392018,0.8899058643314598,6.765625,193.78143086252595
endurance/air_hybrid/protection/precision,256,0.8515625,0.8028238602392018,0.8899058643314598,6.46875,195.62392885100226
endurance/air_hybrid/control/precision,256,0.8515625,0.8028238602392018,0.8899058643314598,6.62890625,193.2292713610385
aviation/air_hybrid/protection/precision,256,0.8515625,0.8028238602392018,0.8899058643314598,6.4453125,207.1537440356684
aviation/air_hybrid/protection/cadence,256,0.84765625,0.7985208776369221,0.8865118499940654,6.40234375,210.02050701152572
aviation/air_hybrid/control/cadence,256,0.84765625,0.7985208776369221,0.8865118499940654,6.58203125,209.6042947778604
aviation/air_hybrid/control/precision,256,0.84765625,0.7985208776369221,0.8865118499940654,6.61328125,205.70800578646728
flexible/torpedo/control/cadence,256,0.84375,0.7942275431635906,0.8831081875277229,6.71484375,215.0606945870214
fast/heavy/protection/precision,256,0.83984375,0.7899435699040459,0.8796951638475937,6.8125,192.95201666154856
endurance/mixed/control/cadence,256,0.83984375,0.7899435699040459,0.8796951638475937,6.73828125,187.99289439115196
endurance/mixed/control/precision,256,0.83984375,0.7899435699040459,0.8796951638475937,6.7890625,185.93209256726612
