sector,entered,failed,conditional_loss,average_damage,average_upgrades,average_income,average_essential_spending
1,49152,85,0.0017293294270833333,14.340638020833333,0.9924723307291666,73.75507527669271,23.07887715657552
2,49067,307,0.00625675097315915,19.891922677155726,2.034096235759268,86.12726394521776,32.268851570301834
3,48760,805,0.01650943396226415,22.827190114848236,3.160151763740771,103.02244647251845,36.906574241181296
4,47955,627,0.01307475758523616,21.66237451777708,4.36997184860807,114.20049817537274,35.93854238348452
5,47328,2438,0.05151284651791751,27.92571247464503,5.539448106828939,129.32467925963488,38.58239224137931
6,44890,2372,0.05284027623078637,29.082191802183115,6.777478280240588,144.44882490532413,39.27190866562709
